dataset,file_directory,file_name,key,duration
musicbench,data_aug2,-0vPFx-wRRI_1.wav,A:minor,15.794805425060034
musicbench,data_aug2,-0vPFx-wRRI_2.wav,A:minor,18.36444622283805
musicbench,data_aug2,-0vPFx-wRRI_3.wav,A:minor,15.77468611247606
musicbench,data_aug2,-0vPFx-wRRI_4.wav,A:minor,13.22881028145982
musicbench,data_aug2,-0vPFx-wRRI_5.wav,F#:minor,13.22881028145982
musicbench,data_aug2,-0vPFx-wRRI_6.wav,G:minor,13.22881028145982
musicbench,data_aug2,-0vPFx-wRRI_7.wav,G#:minor,13.22881028145982
musicbench,data_aug2,-0vPFx-wRRI_8.wav,A#:minor,13.22881028145982
musicbench,data_aug2,-0vPFx-wRRI_9.wav,B:minor,13.22881028145982
musicbench,data_aug2,-0vPFx-wRRI_10.wav,C:minor,13.22881028145982
musicbench,data_aug2,-0vPFx-wRRI_11.wav,A:minor,13.22881028145982
musicbench,data_aug2,-1OlgJWehn8_1.wav,C:minor,11.336754134840223
musicbench,data_aug2,-4NLarMj4xU_1.wav,D#:major,14.930210507020703
musicbench,data_aug2,-4NLarMj4xU_2.wav,D#:major,12.066853085717655
musicbench,data_aug2,-4NLarMj4xU_3.wav,D#:major,14.312009178505544
musicbench,data_aug2,-4NLarMj4xU_4.wav,D#:major,11.771222563056284
musicbench,data_aug2,-4NLarMj4xU_5.wav,C:major,11.771222563056284
musicbench,data_aug2,-4NLarMj4xU_6.wav,C#:major,11.771222563056284
musicbench,data_aug2,-4NLarMj4xU_7.wav,D:major,11.771222563056284
musicbench,data_aug2,-4NLarMj4xU_8.wav,E:major,11.771222563056284
musicbench,data_aug2,-4NLarMj4xU_9.wav,F:major,11.771222563056284
musicbench,data_aug2,-4NLarMj4xU_10.wav,F#:major,11.771222563056284
musicbench,data_aug2,-4NLarMj4xU_11.wav,D#:major,11.771222563056284
musicbench,data_aug2,-5f6hjZf9Yw_1.wav,C#:minor,20.20563965684903
musicbench,data_aug2,-5f6hjZf9Yw_2.wav,C#:minor,17.90580241907425
musicbench,data_aug2,-5f6hjZf9Yw_3.wav,C#:minor,14.648439386336635
musicbench,data_aug2,-5f6hjZf9Yw_4.wav,C#:minor,11.750169785874688
musicbench,data_aug2,-5f6hjZf9Yw_5.wav,A#:minor,11.750169785874688
musicbench,data_aug2,-5f6hjZf9Yw_6.wav,B:minor,11.750169785874688
musicbench,data_aug2,-5f6hjZf9Yw_7.wav,C:minor,11.750169785874688
musicbench,data_aug2,-5f6hjZf9Yw_8.wav,D:minor,11.750169785874688
musicbench,data_aug2,-5f6hjZf9Yw_9.wav,D#:minor,11.750169785874688
musicbench,data_aug2,-5f6hjZf9Yw_10.wav,E:minor,11.750169785874688
musicbench,data_aug2,-5f6hjZf9Yw_11.wav,C#:minor,11.750169785874688
musicbench,data_aug2,-7B9tPuIP-w_1.wav,A:major,22.79156241922225
musicbench,data_aug2,-7B9tPuIP-w_2.wav,A:major,26.972926103494608
musicbench,data_aug2,-7B9tPuIP-w_3.wav,A:major,23.097699471437195
musicbench,data_aug2,-7B9tPuIP-w_4.wav,A:major,20.08020187096688
musicbench,data_aug2,-7B9tPuIP-w_5.wav,F#:major,20.08020187096688
musicbench,data_aug2,-7B9tPuIP-w_6.wav,G:major,20.08020187096688
musicbench,data_aug2,-7B9tPuIP-w_7.wav,G#:major,20.08020187096688
musicbench,data_aug2,-7B9tPuIP-w_8.wav,A#:major,20.08020187096688
musicbench,data_aug2,-7B9tPuIP-w_9.wav,B:major,20.08020187096688
musicbench,data_aug2,-7B9tPuIP-w_10.wav,C:major,20.08020187096688
musicbench,data_aug2,-7B9tPuIP-w_11.wav,A:major,20.08020187096688
musicbench,data_aug2,-BHPu-dPmWQ_1.wav,G#:major,28.044554455808683
musicbench,data_aug2,-BHPu-dPmWQ_2.wav,G#:major,30.9389317971065
musicbench,data_aug2,-BHPu-dPmWQ_3.wav,G#:major,27.786037412191515
musicbench,data_aug2,-BHPu-dPmWQ_4.wav,G#:major,23.13823864681476
musicbench,data_aug2,-BHPu-dPmWQ_5.wav,F:major,23.13823864681476
musicbench,data_aug2,-BHPu-dPmWQ_6.wav,F#:major,23.13823864681476
musicbench,data_aug2,-BHPu-dPmWQ_7.wav,G:major,23.13823864681476
musicbench,data_aug2,-BHPu-dPmWQ_8.wav,A:major,23.13823864681476
musicbench,data_aug2,-BHPu-dPmWQ_9.wav,A#:major,23.13823864681476
musicbench,data_aug2,-BHPu-dPmWQ_10.wav,B:major,23.13823864681476
musicbench,data_aug2,-BHPu-dPmWQ_11.wav,G#:major,23.13823864681476
musicbench,data_aug2,-ByoSbgzr4M_1.wav,D#:major,17.6771183844481
musicbench,data_aug2,-ByoSbgzr4M_2.wav,D#:major,22.71811383749093
musicbench,data_aug2,-ByoSbgzr4M_3.wav,D#:major,18.41636657578537
musicbench,data_aug2,-ByoSbgzr4M_4.wav,D#:major,20.6265298802886
musicbench,data_aug2,-ByoSbgzr4M_5.wav,C:major,20.6265298802886
musicbench,data_aug2,-ByoSbgzr4M_6.wav,C#:major,20.6265298802886
musicbench,data_aug2,-ByoSbgzr4M_7.wav,D:major,20.6265298802886
musicbench,data_aug2,-ByoSbgzr4M_8.wav,E:major,20.6265298802886
musicbench,data_aug2,-ByoSbgzr4M_9.wav,F:major,20.6265298802886
musicbench,data_aug2,-ByoSbgzr4M_10.wav,F#:major,20.6265298802886
musicbench,data_aug2,-ByoSbgzr4M_11.wav,D#:major,20.6265298802886
musicbench,data_aug2,-EVRXQpt1-8_1.wav,D:minor,13.976124287587067
musicbench,data_aug2,-EVRXQpt1-8_2.wav,D:minor,17.252468333011542
musicbench,data_aug2,-EVRXQpt1-8_3.wav,D:minor,14.70589107604332
musicbench,data_aug2,-EVRXQpt1-8_4.wav,D:minor,12.575331612674075
musicbench,data_aug2,-EVRXQpt1-8_5.wav,B:minor,12.575331612674075
musicbench,data_aug2,-EVRXQpt1-8_6.wav,C:minor,12.575331612674075
musicbench,data_aug2,-EVRXQpt1-8_7.wav,C#:minor,12.575331612674075
musicbench,data_aug2,-EVRXQpt1-8_8.wav,D#:minor,12.575331612674075
musicbench,data_aug2,-EVRXQpt1-8_9.wav,E:minor,12.575331612674075
musicbench,data_aug2,-EVRXQpt1-8_10.wav,F:minor,12.575331612674075
musicbench,data_aug2,-EVRXQpt1-8_11.wav,D:minor,12.575331612674075
musicbench,data_aug2,-FFx68qSAuY_2.wav,E:minor,10.746743551025764
musicbench,data_aug2,-FFx68qSAuY_3.wav,E:minor,12.88679936278993
musicbench,data_aug2,-FFx68qSAuY_4.wav,E:minor,15.867652389259671
musicbench,data_aug2,-FFx68qSAuY_5.wav,C#:minor,15.867652389259671
musicbench,data_aug2,-FFx68qSAuY_6.wav,D:minor,15.867652389259671
musicbench,data_aug2,-FFx68qSAuY_7.wav,D#:minor,15.867652389259671
musicbench,data_aug2,-FFx68qSAuY_8.wav,F:minor,15.867652389259671
musicbench,data_aug2,-FFx68qSAuY_9.wav,F#:minor,15.867652389259671
musicbench,data_aug2,-FFx68qSAuY_10.wav,G:minor,15.867652389259671
musicbench,data_aug2,-FFx68qSAuY_11.wav,E:minor,15.867652389259671
musicbench,data_aug2,-Gf4Ihv1zwc_1.wav,C#:major,27.189574097443533
musicbench,data_aug2,-Gf4Ihv1zwc_2.wav,C#:major,31.880954504862725
